Type,Description,Protein_g,Fat_g,Carb_g,Sugar_g,VitA_mcg,Calcium_mg
Cheese,"Cheese, goat, soft type",18.52,21.08,0,0,288,140
Yogurt,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D",3.86,0.18,7.5,7.5,2,143
Cheese,"Cheese, Mexican, blend, reduced fat",24.69,19.4,3.41,0.56,155,1146
Cheese,"Cheese, colby",23.76,32.11,2.57,0.52,264,685
Milk,"Milk, human, mature, fluid",1.03,4.38,6.89,6.89,61,32
Cheese,"Cheese food, cold pack, American",19.66,24.46,8.32,0,0,497
Yogurt,"Yogurt, fruit variety, nonfat, fortified with vitamin D",4.4,0.2,19,19,2,152
Milk,"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",2.99,1.9,12.13,9.55,64,194
Milk,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",3.57,0.25,5.02,5.02,64,129
Cream,"Cream, sour, cultured",2.07,19.73,2.88,2.88,176,110
Milk,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",3.3,1.98,4.8,5.06,28,120
Ice cream,"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",5.21,21.88,34.38,25,32,63
Cheese,"Cheese, parmesan, hard",35.75,25.83,3.22,0.8,207,1184
Cheese,"Cheese spread, pasteurized process, American",16.41,21.23,8.73,7.32,173,562
Milk,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",3.48,0.97,4.97,0,59,128
Yogurt,"Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener",4.93,1.25,13.8,5.43,12,171
Cheese,"Cheese, mozzarella, part skim milk",24.26,15.92,2.77,1.13,127,782
Milk,"Milk, filled, fluid, with lauric acid oil",3.33,3.4,4.74,4.74,2,128
Cream,"Sour cream, imitation, cultured",2.4,19.52,6.63,6.63,0,3
Cheese,"Cheese, port de salut",23.78,28.2,0.57,0.57,315,650
Cheese,"Cheese, mexican, queso asadero",22.6,28.26,2.87,2.87,55,661
Yogurt,"Yogurt, Greek, non fat, vanilla, CHOBANI",9.07,0.22,8.09,7.61,0,106
Yogurt,"Yogurt, Greek, plain, nonfat",10.19,0.39,3.6,3.24,1,110
Cheese,"Cheese, caraway",25.18,29.2,3.06,0,271,673
Milk,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",2.99,1.9,12.13,9.55,64,109
Milk,"Milk, chocolate beverage, hot cocoa, homemade",3.52,2.34,10.74,9.66,51,114
Cheese,"Cheese, cheddar, reduced fat",27.35,20.41,4.06,0.26,145,761
Milk,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",35.1,0.72,52.19,52.19,709,1231
Cheese,"Cheese, American, nonfat or fat free",21.05,0,10.53,5.26,56,789
Cheese,"Cheese, camembert",19.8,24.26,0.46,0.46,241,388
Cheese,"Cheese, cheddar",24.04,33.82,1.33,0.28,263,675
Cheese,"Cheese, cheshire",23.37,30.6,4.78,0,233,643
Milk,"Milk, chocolate, fluid, commercial, lowfat, with added vitamin A and vitamin D",3.24,1,12.6,9.94,58,116
Milk,"Milk, sheep, fluid",5.98,7,5.36,0,44,193
Milk,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",36.16,0.77,51.98,51.98,6,1257
Yogurt,"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce, fortified with vitamin D",4.93,1.25,13.8,13.8,12,171
Cheese,"Cheese, low-sodium, cheddar or colby",24.35,32.62,1.91,0.49,264,703
Cheese,"Cheese, blue",21.4,28.74,2.34,0.5,198,528
Cream,"Sour cream, reduced fat",7,14.1,7,0.3,119,141
Yogurt,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",3.98,1.15,18.64,18.64,11,138
Cheese,"Cheese, swiss",26.93,27.8,5.38,1.32,220,791
Milk,"Milk, low sodium, fluid",3.1,3.46,4.46,4.46,29,101
Cheese,"Cheese, monterey",24.48,30.28,0.68,0.5,198,746
Yogurt,"Yogurt, chocolate, nonfat milk, fortified with vitamin D",3.53,0,23.53,14.97,0,88
Milk,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",3.96,0.25,5.56,0,61,143
Yogurt,"Yogurt, Greek, strawberry, DANNON OIKOS",8.25,2.92,11.67,11,1,86
Yogurt,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",5.73,0.18,7.68,7.68,2,199
Cheese,"Cheese, pasteurized process, pimento",22.13,31.2,1.73,0.62,244,614
Cheese,"Cheese, Mexican blend",23.54,28.51,1.75,1.23,174,659
Ice cream,"Ice cream, soft serve, chocolate",4.1,13,22.2,21.16,162,131
Milk,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",3.95,1.98,5.49,5.26,0,143
Cream,"Sour dressing, non-butterfat, cultured, filled cream-type",3.25,16.57,4.68,4.68,3,113
Cheese,"Cheese, limburger",20.05,27.25,0.49,0.49,340,497
Ice cream,Ice cream cookie sandwich,3.7,7.4,39.6,21.3,37,73
Milk,"Milk, dry, whole, with added vitamin D",26.32,26.71,38.42,38.42,258,912
Yogurt,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",4.37,1.08,19.05,19.05,10,152
Cheese,"Cheese, romano",31.8,26.94,3.63,0.73,96,1064
Cheese,"Cheese, goat, hard type",30.52,35.59,2.17,2.17,486,895
Yogurt,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",3.47,3.25,4.66,4.66,27,121
Milk,"Milk, whole, 3.25% milkfat, with added vitamin D",3.15,3.25,4.8,5.05,46,113
Cheese,"Cheese food, pasteurized process, swiss",21.92,24.14,4.5,0,237,723
Milk,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",3.15,3.27,4.78,5.05,46,113
Milk,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",7.55,0.2,11.35,11.35,118,290
Milk,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.3,1.98,4.8,5.06,55,120
Milk,"Milk, dry, whole, without added vitamin D",26.32,26.71,38.42,38.42,258,912
Cream,"Cream, fluid, heavy whipping",2.05,37,2.79,2.79,411,65
Milk,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",3.33,3.46,4.74,0,2,128
Cheese,"Cheese, parmesan, shredded",37.86,27.34,3.41,0.9,229,1253
Yogurt,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",3.86,0.18,7.5,7.5,2,143
Cheese,"Cheese, edam",24.99,27.8,1.43,1.43,243,731
Milk,"Milk, canned, evaporated, with added vitamin A",6.81,7.56,10.04,0,0,261
Milk,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.37,0.97,4.99,5.2,58,125
Cheese,"Cheese, mexican, queso chihuahua",21.56,29.68,5.56,5.56,56,651
Cheese,"Cheese food, pasteurized process, American, vitamin D fortified",16.86,25.63,8.56,5.59,201,682
Ice cream,"Ice cream, light, soft serve, chocolate",3.36,3.69,23.15,19.46,91,134
Cheese,"Cheese, mozzarella, low moisture, part-skim, shredded",23.63,19.72,8.06,2.24,254,716
Cheese,"Cheese, roquefort",21.54,30.64,2,0,294,662
Cheese,"Cheese, tilsit",24.41,25.98,1.88,0,249,700
Cream,"Cream, fluid, light whipping",2.17,30.91,2.96,2.96,279,69
Milk,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",3.48,1.92,4.97,0,56,128
Milk,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",3.17,3.39,10.34,9.54,27,112
Cream,"Sour cream, fat free",3.1,0,15.6,0.39,73,125
Cheese,"Cheese, goat, semisoft type",21.58,29.84,0.12,0.12,407,298
Cheese,"Cheese, white, queso blanco",20.38,24.31,2.53,1.76,157,690
Cream,"Cream, fluid, light (coffee cream or table cream)",2.7,19.31,3.66,3.66,181,96
Ice cream,"Ice cream sandwich, vanilla, light, no sugar added",5.71,2.86,42.86,6.58,129,86
Cream,"Cream, fluid, half and half",2.96,11.5,4.3,4.3,97,105
Ice cream,"Ice cream sandwich, made with light ice cream, vanilla",4.29,3.04,39.64,17.86,96,30
Ice cream,"Fat free ice cream, no sugar added, flavors other than chocolate",4.41,0,27.94,8.82,133,147
Yogurt,"Yogurt, chocolate, nonfat milk",3.53,0,23.53,14.97,0,88
Cheese,"Cheese, pasteurized process, swiss",24.73,25.01,2.1,1.23,198,772
Yogurt,"Yogurt, fruit, lowfat, with low calorie sweetener",4.86,1.41,18.6,2.9,131,152
Yogurt,"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce",4.93,1.25,13.8,13.8,12,171
Cream,"Cream, sour, reduced fat, cultured",2.94,12,4.26,0.16,102,104
Cheese,"Cheese, provolone",25.58,26.62,2.14,0.56,236,756
Milk,"Milk, goat, fluid, with added vitamin D",3.56,4.14,4.45,4.45,57,134
Cheese,"Cheese, parmesan, grated",28.42,27.84,13.91,0.07,262,853
Cheese,"Cheese, gouda",24.94,27.44,2.22,2.22,165,700
Cheese,"Cheese, pasteurized process, American, without added vitamin D",18.13,31.79,3.7,2.26,250,1045
Cheese,"Cheese, brick",23.24,29.68,2.79,0.51,292,674
Milk,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.37,0.08,4.96,5.09,61,122
Milk,"Milk, canned, condensed, sweetened",7.91,8.7,54.4,54.4,74,284
Cheese,"Cheese, fontina",25.6,31.14,1.55,1.55,261,550
Milk,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",3.95,1.98,5.49,0,17,143
Milk,"Milk, producer, fluid, 3.7% milkfat",3.28,3.66,4.65,0,33,119
Cheese,"Cheese, low fat, cheddar or colby",24.35,7,1.91,0.52,60,415
Cheese,"Cheese, Swiss, nonfat or fat free",28.4,0,3.4,1.33,40,961
Milk,"Milk, canned, evaporated, without added vitamin A and vitamin D",6.81,7.56,10.04,10.04,65,261
Milk,"Milk, dry, nonfat, calcium reduced",35.5,0.2,51.8,0,2,280
Yogurt,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",5.25,1.55,7.04,7.04,14,183
Cheese,"Cheese, gruyere",29.81,32.34,0.36,0.36,271,1011
Cheese,"Cheese, muenster",23.41,30.04,1.12,1.12,298,717
Milk,"Milk, indian buffalo, fluid",3.75,6.89,5.18,0,53,169
Ice cream,"Ice cream, bar or stick, chocolate covered",4.1,24.1,24.5,18.3,19,119
Cheese,"Cheese, mozzarella, whole milk",22.17,22.35,2.19,1.03,179,505
Cheese,"Cheese, brie",20.75,27.68,0.45,0.45,174,184
Yogurt,"Yogurt, Greek, non fat, vanilla, DANNON OIKOS",8.12,0.14,12.72,11.4,0,89
Cheese,"Cheese, provolone, reduced fat",24.7,17.6,3.5,0.55,141,756
Cream,"Cream, whipped, cream topping, pressurized",3.2,22.22,12.49,8,188,101
Cheese,"Cheese, parmesan, dry grated, reduced fat",20,20,1.37,0,160,1109
Cream,"Cream, half and half, fat free",2.6,1.4,9,5,12,96
Milk,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",6.81,7.56,10.04,10.04,65,261
Cheese,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",17.6,14.1,10.6,8.02,250,529
Milk,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",36.16,0.77,51.98,51.98,653,1257
Cheese,"Cheese, cheddar, nonfat or fat free",32.14,0,7.14,0,60,893
Cheese,"Cheese, mexican, queso anejo",21.44,29.98,4.63,4.63,64,680
Yogurt,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce",3.98,1.15,18.64,18.64,11,138
Yogurt,"Yogurt, fruit, low fat, 11 grams protein per 8 ounce",4.86,1.41,18.6,0,0,169
Milk,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",35.1,0.72,52.19,52.19,4,1231
Cheese,"Cheese, fresh, queso fresco",18.09,23.82,2.98,2.32,224,566
Cheese,"Cheese, cheddar, sharp, sliced",24.25,33.82,2.13,0.27,263,711
Cheese,"Cheese, pasteurized process, American, fortified with vitamin D",18.13,30.71,4.78,2.26,317,1045
Cheese,"Cheese, mozzarella, whole milk, low moisture",21.6,24.64,2.47,1.01,197,575
Yogurt,"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",4.4,0.8,19.7,12.61,2,159
Milk,"Milk, fluid, 1% fat, without added vitamin A and vitamin D",3.37,0.97,4.99,5.2,14,125
Ice cream,Ice cream sandwich,4.29,8.57,37.14,18.57,86,86
Cheese,"Cheese, dry white, queso seco",24.51,24.35,2.04,0.55,226,661
Yogurt,"Yogurt, Greek, non fat, strawberry, CHOBANI",8.03,0.12,11.62,10.86,0,99
Yogurt,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",4.37,1.08,19.05,19.05,10,152
Milk,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",3.93,1.17,5.52,0,61,142
Ice cream,"Ice cream bar, stick or nugget, with crunch coating",2.11,25.26,37.12,21.05,35,63
Cream,"Sour cream, light",3.5,10.6,7.1,0.22,90,141
Yogurt,"Yogurt, Greek, non fat, strawberry, DANNON OIKOS",8.03,0.22,12.53,11.63,0,94
Cheese,"Cheese, mozzarella, low moisture, part-skim",24.58,19.72,6.36,2.24,254,716
Yogurt,"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",4.86,1.41,18.6,2.9,131,152
Milk,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",3.37,0.08,4.96,5.09,2,122
